1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,10,Pacific/Port_Moresby
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,10,Pacific/Port_Moresby
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,10,Pacific/Port_Moresby
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,10,Pacific/Port_Moresby
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,10,Pacific/Port_Moresby
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,10,Pacific/Port_Moresby
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,-3,America/Godthab
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,-3,America/Godthab
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,-3,America/Godthab
10,Thule Air Base,Thule,Greenland,THU,BGTL,-4,America/Thule
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,0,Atlantic/Reykjavik
18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,0,Atlantic/Reykjavik
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,0,Atlantic/Reykjavik
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,-6,America/Winnipeg
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,-4,America/Halifax
24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,-3.5,America/St_Johns
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,-8,America/Vancouver
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,-7,America/Edmonton
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,-5,America/Toronto
28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,-5,America/Toronto
29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,-6,America/Winnipeg
30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,-8,America/Vancouver
31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,-6,America/Winnipeg
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,-7,America/Edmonton
33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,-8,America/Vancouver
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,-8,America/Vancouver
35,Miramichi Airport,Chatham,Canada,YCH,CYCH,-4,America/Halifax
36,Charlo Airport,Charlo,Canada,YCL,CYCL,-4,America/Halifax
37,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,-7,America/Edmonton
38,Coronation Airport,Coronation,Canada,YCT,CYCT,-7,America/Edmonton
39,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,-8,America/Vancouver
40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,-5,America/Toronto
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,-5,America/Coral_Harbour
42,Dawson City Airport,Dawson,Canada,YDA,CYDA,-8,America/Vancouver
43,Burwash Airport,Burwash,Canada,YDB,CYDB,-8,America/Vancouver
44,Princeton Airport,Princeton,Canada,YDC,CYDC,-8,America/Vancouver
45,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,-3.5,America/St_Johns
46,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,-8,America/Vancouver
47,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,-6,America/Winnipeg
48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,-7,America/Dawson_Creek
49,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,-7,America/Edmonton
50,Arviat Airport,Eskimo Point,Canada,YEK,CYEK,-6,America/Winnipeg
51,Estevan Airport,Estevan,Canada,YEN,CYEN,-6,America/Regina
52,Edson Airport,Edson,Canada,YET,CYET,-7,America/Edmonton
53,Eureka Airport,Eureka,Canada,YEU,CYEU,-6,America/Winnipeg
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,-7,America/Edmonton
55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,-5,America/Toronto
56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,-4,America/Halifax
58,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,-6,America/Winnipeg
59,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,-7,America/Edmonton
